poradi,lokalita,otazka,datum,opravnene_osoby,ucast,platnost_referenda,pro,proti,zavaznost,platnost_hlasovani
336.0,"Řimovice   (Benešov, STČ)","Souhlasíte s tím, aby v katastrálním území obce Řimovice (745758), 258 01, byla realizována výstavba Stanice satelitních přístupových uzlů (nebo také Stanice satelitních přístupových uzlů (SAN) Viasat)?",2021-10-16 00:00:00,175,0.7543,ANO,"64      (48,48 %)","67      (50,76 %)",ANO         (44),
337.0,"Městský obvod Stará Bělá                          (SM Ostrava, Ostrava - město, MSK)","Souhlasíte se stavbou nákupního centra a hal pro lehký průmysl v lokalitě Junácká označeném v Územním plánu města Ostravy jako plocha č. P41 s navrženým způsobem využití ""Lehký průmysl""?",08.-09.10.2021,3248,0.7131,ANO,"197      (8,51 %)","2 086 (90,07 %)",ANO       (812),
338.0,"Blšany u Loun (Louny, ÚSK)","Vybudovat relaxační zónu na částech pozemků pč. 47/1, 47/3, 47/5 v katastrálním území Blšany u Loun?",08.-09.10.2021,295,0.722,ANO,"101    (47,42 %)","105    (49,30 %)",NE             (74),
339.0,"Tovačov          (Přerov, OLK)","Souhlasíte s rozšířením těžby štěrkopísku (hornických činností) na pozemcích ve vlastnictví města Tovačova zapsaných na LV č. 10001 v k. ú. Tovačov, obec Tovačov,   u Katastrálního úřadu pro Olomoucký kraj, KP Přerov        o výměře 104.219 m2 na parcelách č. 1835/152, 1835/153, 1835/171, 1835/173, 1835/215, 1835/212, 1838/28, 1855/2, 1871/49, 1871/50, 2989/4, 2989/7 a 2989/8?",08.-09.10.2021,1973,0.6001,ANO,"250    (21,11 %)","900    (76,01 %)",ANO       (494),
340.0,"Jáchymov      (Karlovy Vary, KVK)","Souhlasíte s tím, aby Zastupitelstvo města Jáchymov schválilo prodej pozemků ve vlastnictví města Jáchymov pro účely výstavby investičního záměru SKYWALK - STEZKA V OBLACÍCH na Klínovci?",08.-09.10.2021,1842,0.5418,ANO,"378    (37,88 %)","601    (60,22 %)",ANO       (461),
341.0,"Temelín            (České Budějovice, JHČ)",Souhlasíte s výstavbou Víceúčelové sportovní haly (zimní stadion) v obci Temelín?,08.-09.10.2021,698,0.6074,ANO,"258    (60,85 %)","144    (33,96 %)",ANO       (175),
342.0,"Soběslav          (Tábor, JHČ)","1. Souhlasíte s tím, aby město Soběslav bezodkladně podniklo veškeré kroky v samostatné působnosti, aby nemohlo dojít k výstavbě logistického centra na místě zastavitelných ploch Z12 a Z20 vymezených územním plánem Soběslav ve znění změny č. 1?",23.-24.09.2022,5548,0.3035,NE,"1 400 (83,14 %)","189    (11,22 %)",NE                 (1 387),
,,"2. Souhlasíte s tím, aby město Soběslav bezodkladně podniklo veškeré kroky v samostatné působnosti, aby nemohlo dojít k výstavbě hal o zastavěné ploše stavby (každé haly) převyšující 10.000 m² na místě zastavitelných ploch Z12 a Z20 vymezených územních plánem Soběslav ve znění  změny č. 1?",,,,,"1 427 (84,74 %)","158      (9,38 %)",NE                 (1 387),
343.0,"Drnovice              (Zlín, ZLK)","Souhlasíte s tím, aby zastupitelstvo obce podniklo veškerá zákonná opatření v samostatné působnosti obce k tomu, aby podpořilo realizaci silničního obchvatu obce Drnovice, jehož předběžná trasa vychází z mapového podkladu dokumentu Technické studie Vodního díla Vlachovice, která byla dokončena v prosinci 2020?",08.-09.10.2021,335,0.6896,ANO,"177    (76,62 %)","42      (18,18 %)",ANO         (84),
344.0,"Sobíšky           (Přerov, OLK)","1. Souhlasíte se záměrem Ing. M. Zapletala (EM Dřevohostice s.r.o., IČ 26843463) vystavět a zprovoznit biofarmu pro nosnice na území obce Sobíšky?",2021-11-27 00:00:00,133,0.6842,ANO,"3           (3,30 %)","82      (90,11 %)",ANO         (34),
,,"2. Souhlasíte s tím, aby Zastupitelstvo obce Sobíšky podniklo kroky potřebné k zabránění realizace tohoto záměru?",,,,,"87      (95,60 %)","3           (3,30 %)",ANO         (34),
345.0,"Ostrov            (Karlovy Vary, KVK)","Souhlasíte s tím, aby zastupitelstvo města neschválilo změnu č. 3 Územního plánu Ostrov?",2022-02-18 00:00:00,13031,0.1866,NE,"2 249 (92,48 %)","158      (6,50 %)",NE                 (3 258),
346.0,"Koloveč (Domažlice, PLK)","Souhlasíte s tím, aby zastupitelstvo městyse Koloveč podnikalo v rámci své samostatné působnosti kroky směřující k podpoře výstavby dvou větrných elektráren na území městyse Koloveč, ve vzdálenosti minimálně      1 000 metrů od zastavěného území městyse, směrem na Nové Dvory u Močerad a s tím související kroky směřující k přijetí finanční dotace od investora a provozovatele těchto větrných elektráren v řádech milionů Kč a k jejich využití na další rozvoj městyse Koloveč, včetně krytí většiny nákladů na provoz systému komunálních odpadů (snížení poplatku na odpady pro poplatníky) a také na vyšší podporu činnosti spolků a sdružení působících v městysi Koloveč?",2022-02-26 00:00:00,811,0.4723,ANO,"131    (34,20 %)","243    (63,45 %)",ANO       (203),
347.0,"Říčany               (Praha-východ, STČ)","Souhlasíte s tím, aby město Říčany (resp. jeho orgány) činilo v samostatné působnosti bez zbytečného odkladu takové kroky, které budou působit na orgány města          v přenesené působnosti a budou směřovat ke zrušení dopravních regulací zavedených v rámci projektu Parkuj dobře v Říčanech?",2022-02-15 00:00:00,11701,0.2006,NE,"2 172 (92,54 %)","147      (6,26 %)",NE                 (2 926),
348.0,"Jáchymov      (Karlovy Vary, KVK)","Souhlasíte s tím, aby město Jáchymov pronajalo část pozemků parc. č. 1538/4 a 1538/18, k. ú. Jáchymov             o velikosti 5 640 m², společnosti SKYWALK KLÍNOVEC        s r.o., IČO 061 19 255, se sídlem Velká Morava 79, 561 69 Dolní Morava, na dobu 50 let za účelem realizace projektu SkyWalk - stezka v oblacích na Klínovci, a to za nájemné ve výši 2.230.000,- Kč ročně a následným každoročním navyšováním nájemného o průměrnou roční míru inflace za předchozí rok vyhlášenou Českým statistickým úřadem?",zrušeno,,,,,,,
349.0,"Chýšť        (Pardubice, PAK)","Souhlasíte s poskytnutím obecních pozemků pod označením  Z9 a Z10 dle územního plánu obce Chýšť, k.ú. Chýšť k výstavbě průmyslové zóny?",23.-24.09.2022,173,0.8382,ANO,"48      (33,10 %)","95      (65,52 %)",ANO         (44),
350.0,"Čerčany      (Benešov, STČ)",1. Souhlasíte se zákazem zařazování dalších ploch               o velikosti větší než 10 000 m² v okolí zastavěného území obce Čerčany do územního plánu jako ploch bydlení?,23.-24.09.2022,2252,0.5431,ANO,"868    (70,97 %)","210    (17,17 %)",ANO       (563),
,,"2. Souhlasíte s vypuštěním plochy Z1-29 ""Velký Barochov"" (tvořené zejména pozemkem parcelní číslo 1228/1 k.ú. Čerčany) ze zastavitelného území v rámci územního plánu obce Čerčany a s jejím ponecháním v nezastavitelném území?",,,,,"872    (71,30 %)","200    (16,35 %)",ANO       (563),
351.0,"Janov              (Svitavy, PAK)",Jste pro výstavbu ZOO v k.ú. Janov u Litomyšle?,23.-24.09.2022,760,0.6421,ANO,"197    (40,37 %)","273    (55,94 %)",ANO       (190),
352.0,"Náklo         (Olomouc, OLK)","Má obec Náklo při výkonu své samostatné působnosti využít všech zákonných prostředků (zejména z titulu schvalovatele územního plánu, účastníka správních řízení a vlastníka pozemků), aby zabránila rozšíření těžby štěrkopísku na svých pozemcích?",23.-24.09.2022,1181,0.4936,ANO,"366    (62,78 %)","139    (23,84 %)",ANO       (296),
353.0,"Veverská Bítýška (Brno-venkov, JHM)","Požadujete, aby orgány obce Veverská Bítýška aktivně vyvíjely v rámci své samostatné působnosti maximální možné a přípustné úsilí k tomu, aby bylo v maximální možné míře eliminováno riziko vzniku a šíření zápachu ze vznikající laminační linky na území města?",23.-24.09.2022,2556,0.4394,ANO,"979    (87,18 %)","71        (6,32 %)",ANO       (639),
354.0,"Velké Přítočno (Kladno, STČ)","1. Souhlasíte s tím, aby zastupitelstvo obce Velké Přítočno bezodkladně podniklo veškeré kroky                     v samostatné působnosti, aby nemohlo dojít k výstavbě komplexu bytových domů dle projektu „nové přítočno I“ na místě zastavitelných ploch Z03, Z04, Z05 a Z06 vymezených územním plánem Velkého Přítočna ve znění změny č. 1   a č. 2?",23.-24.09.2022,807,0.6691,ANO,"248    (45,93 %)","228    (42,22 %)",NE           (202),
,,"2. Souhlasíte s tím, aby zastupitelstvo obce Velké Přítočno vydalo negativní stanovisko (podalo nesouhlasné námitky a podniklo veškeré kroky k jejich prosazení) do územního řízení ve věci výstavby komplexu bytových domů dle projektu „nové přítočno I“ na místě zastavitelných ploch Z03, Z04, Z05 a Z06 vymezených územním plánem Velkého Přítočna ve znění změny č. 1   a č. 2 zahájeného odborem výstavby Magistrátu města Kladna a negativní stanovisko (nesouhlasné námitky) vydalo i do případného následného řízení stavebního?",,,,,"245    (45,37 %)","219    (40,56 %)",NE           (202),
,,"3. Souhlasíte s tím, aby zastupitelstvo obce Velké Přítočno podniklo v samostatné působnosti veškeré kroky vedoucí ke změně územního plánu Velkého Přítočna u zastavitelných ploch Z03, Z04, Z05 a Z06, a to tak, aby využití pozemků parc. č. 121/4, 121/5, 121/6          a 121/82 bylo změněno z SV (smíšené obytné venkovské) na BV (bydlení venkovské)?",,,,,"251    (46,48 %)","216    (40,00 %)",NE           (202),
355.0,"Čeperka (Pardubice, PAK)",Souhlasíte s umístěním stavby spalovny odpadů nebo jiného zařízení na energetické využití odpadů nebo           k odstranění odpadů jejich spalováním či spoluspalováním v katastrálním území obce Čeperky?,23.-24.09.2022,898,0.5791,ANO,"201    (38,65 %)","299      (57,5 %)",ANO       (225),
356.0,"Jenišov           (Karlovy Vary, KVK)","Souhlasíte s budoucí výstavbou bytových domů na území obce Jenišov (tj. domů s více než třemi samostatnými byty, dvěma nadzemními a jedním podzemním podlažím a podkrovím, na území obce Jenišov?",23.-24.09.2022,756,0.5728,ANO,"63      (14,55 %)","356    (82,22 %)",ANO       (189) ,
357.0,"Svatý Jan nad Malší (České Budějovice, JHČ)","Souhlasím s výstavbou obecního bytového domu na parcelách č. 175, 192, 4620/1, 4621, 4622, 4623 v k. ú. Svatý Jan nad Malší, které jsou ve vlastnictví obce, maximální počet bytů bude 10, využitelnost přednostně pro místní občany.",23.-24.09.2022,472,0.6356,ANO,"161    (53,67 %)","119    (39,67 %)",ANO       (118),
358.0,"Květnice          (Praha-východ, STČ)","1. Souhlasíte s tím, aby zastupitelstvo obce Květnice podnikalo další kroky směřující k zabránění demolici vily v centru obce v jihovýchodní části pozemku 57/1?",23.-24.09.2022,1237,0.5255,ANO,"388    (59,69 %)","253    (38,92 %)",ANO       (310),
,,"2. Souhlasíte s tím, aby zastupitelstvo obce Květnice bylo povinno podniknout všechny zákonné kroky ke schválení změny územního plánu Květnice takto?
PRO OBYTNÉ DOMY, tedy stavby pro bydlení ve smyslu    § 2 písm. a) vyhlášky č. 501/2006 Sb., na celém území obce, musí obsahovat podmínku, že PLOCHÉ STŘECHY jsou NEPŘÍPUSTNÉ.",,,,,"440    (67,69 %)","187    (28,77 %)",ANO       (310),
,,"3. Souhlasíte s tím, aby zastupitelstvo obce Květnice bylo povinno podniknout všechny zákonné kroky ke schválení změny územního plánu Květnice takto?
PRO OBYTNÉ DOMY, tedy stavby pro bydlení ve smyslu    § 2 písm. a) vyhlášky č. 501/2006 Sb., na celém území obce musí obsahovat podmínku MAXIMÁLNĚ DVOU NADZEMNÍCH PODLAŽÍ s možným obytným podkrovím?",,,,,"355    (54,62 %)","275    (42,31 %)",ANO       (310),
,,"4. Souhlasíte s tím, aby zastupitelstvo obce Květnice bylo povinno podniknout všechny zákonné kroky ke schválení změny územního plánu Květnice takto?
PRO POLYFUNKČNÍ DOMY, tedy domy s více než 50 % čisté podlahové plochy občanské vybavenosti, na plochách SK, což jsou plochy smíšené obytné komerční určené pro bydlení a občanskou vybavenost, mohly zůstat ZACHOVÁNY PLOCHÉ STŘECHY s podmínkou, že pokud se bude jednat o podlaží třetí, musí jít o souměrně ustoupené podlaží, přičemž plocha tohoto podlaží musí být nejméně o 20 % menší, než je plocha prvního nadzemního podlaží.",,,,,"295    (45,38 %)","329    (50,62 %)",ANO       (310),
,,"5. Souhlasíte s tím, aby zastupitelstvo obce Květnice bylo povinno podniknout všechny zákonné kroky ke schválení změny územního plánu Květnice takto?
PRO POLYFUNKČNÍ DOMY, tedy domy s více než 50 % čisté podlahové plochy občanské vybavenosti, na plochách SK, což jsou plochy smíšené obytné komerční určené pro bydlení a občanskou vybavenost, mohly zůstat ZACHOVÁNY TŘI NADZEMNÍ PODLAŽÍ s podmínkou, že pokud se bude jednat o podlaží třetí, musí jít o obytné podkroví, nebo souměrně ustoupené podlaží o nejméně 20 % než je plocha prvního nadzemního podlaží?",,,,,"286    (44,00 %)","336    (51,69 %)",ANO       (310),
359.0,"Vrčeň                              (Plzeň-jih, PLK)","Souhlasíte, aby obec Vrčeň učinila veškeré právní kroky k uzavření nájemní smlouvy na dobu neurčitou na pronájem Opatského rybníka se současným nájemníkem Spolkem Vrčeň, dle nabídky Spolku Vrčeň projednané Zastupitelstvem obce dne 11. 7. 2022?",23.-24.09.2022,265,0.717,ANO,"147    (77,37 %)","37      (19,47 %)",ANO         (67),
360.0,"Jemnice           (Třebíč, VYS)","1. Souhlasíte s tím, aby město Jemnice v rámci samostatné působnosti činilo veškeré kroky k tomu, aby na území města Jemnice nemohlo dojít ke vzniku či zprovoznění chovu či skupiny chovů hospodářských zvířat v jedné lokalitě o celkové ustájovací kapacitě větší než 200 dobytčích jednotek (DJ)?
Pozn.: 1 dobytčí jednotka (DJ) = 500 kg živé hmotnosti zvířete. Propočítáním na jednotlivé kategorie zvířat se provede dle koeficientů v příloze č. 1 k vyhlášce                č. 377/2013 Sb. část C)",23.-24.09.2022,3229,0.5983,ANO,"1 140 (59,01 %)","660    (34,16 %)",ANO       (808),
,,"2. Souhlasíte s tím, aby město Jemnice v rámci samostatné působnosti činilo veškeré kroky k tomu, aby změnou územního plánu města Jemnice nemohla vzniknout plocha zemědělské výroby (VZ) o velikosti větší než 10.000 m2, která by umožňovala výstavbu stájí?",,,,,"1 131 (58,54 %)","667    (34,52 %)",ANO       (808),
,,"3. Souhlasíte s tím, aby město Jemnice v rámci samostatné působnosti činilo veškeré kroky k tomu, aby na území města Jemnice nemohlo dojít k výstavbě či zprovoznění závodu na porážku a zpracování zvířat (jatka) o celkové kapacitě porážky větší než 400.000 kg ročně?",,,,,"1 115 (57,71 %)","680    (35,20 %)",ANO       (808),
,,"4. Souhlasíte s tím, aby město Jemnice v rámci samostatné působnosti činilo veškeré kroky k tomu, aby v územním plánu města Jemnice plocha zemědělské výroby (VZ) při ulici Slavonická byla změněna na plochu smíšenou venkovskou (SV) umožňující mimo jiné také výstavbu rodinných domů?",,,,,"1 089 (56,37 %)","711    (36,80 %)",ANO       (808),
